Fecha,Valor
1995-07-31,3365.58
1995-08-31,3322.38
1995-09-30,3441.7
1995-10-31,3383.21
1995-11-30,3405.5
1995-12-31,3305.7
1996-01-31,3223.36
1996-02-29,3440.38
1996-03-31,3284.49
1996-04-30,3424.01
1996-05-31,3260.16
1996-06-30,3415.24
1996-07-31,3443.01
1996-08-31,3363.76
1996-09-30,3451.33
1996-10-31,3382.54
1996-11-30,3486.78
1996-12-31,3400.29
1997-01-31,3182.42
1997-02-28,3442.44
1997-03-31,3453.42
1997-04-30,3539.83
1997-05-31,3348.51
1997-06-30,3593.48
1997-07-31,3598.99
1997-08-31,3572.82
1997-09-30,3665.99
1997-10-31,3506.1
1997-11-30,3645.13
1997-12-31,3591.07
1998-01-31,3366.54
1998-02-28,3696.54
1998-03-31,3514.22
1998-04-30,3639.4
1998-05-31,3446.19
1998-06-30,3623.32
1998-07-31,3588.63
1998-08-31,3518.93
1998-09-30,3606.63
1998-10-31,3446.28
1998-11-30,3482.5
1998-12-31,3365.41
1999-01-31,3153.06
1999-02-28,3480.83
1999-03-31,3319.25
1999-04-30,3427.79
1999-05-31,3299.57
1999-06-30,3414.13
1999-07-31,3437.48
1999-08-31,3362.57
1999-09-30,3446.42
1999-10-31,3374.67
1999-11-30,3481.66
1999-12-31,3336.95
2000-01-31,3266.81
2000-02-29,3480.69
2000-03-31,3295.01
2000-04-30,3488.66
2000-05-31,3363.32
2000-06-30,3453.88
2000-07-31,3502.45
2000-08-31,3448.39
2000-09-30,3568.06
2000-10-31,3518.0
2000-11-30,3633.09
2000-12-31,3499.01
2001-01-31,3293.69
2001-02-28,3656.45
2001-03-31,3497.6
2001-04-30,3666.72
2001-05-31,3487.93
2001-06-30,3602.49
2001-07-31,3725.93
2001-08-31,3588.77
2001-09-30,3738.47
2001-10-31,3604.1
2001-11-30,3774.98
2001-12-31,3672.61
2002-01-31,3486.77
2002-02-28,3688.38
2002-03-31,3651.0
2002-04-30,3788.14
2002-05-31,3591.12
2002-06-30,3762.85
2002-07-31,3830.1
2002-08-31,3758.38
2002-09-30,3872.59
2002-10-31,3742.33
2002-11-30,3898.45
2002-12-31,3806.35
2003-01-31,3534.38
2003-02-28,4020.13
2003-03-31,3798.12
2003-04-30,3905.77
2003-05-31,3716.12
2003-06-30,3963.26
2003-07-31,3982.08
2003-08-31,3954.36
2003-09-30,4074.0
2003-10-31,3957.12
2003-11-30,4091.43
2003-12-31,3975.19
2004-01-31,3895.27
2004-02-29,4174.3
2004-03-31,3940.43
2004-04-30,4065.36
2004-05-31,3893.37
2004-06-30,4044.05
2004-07-31,4148.17
2004-08-31,4020.15
2004-09-30,4148.52
2004-10-31,4074.37
2004-11-30,4238.75
2004-12-31,4111.52
2005-01-31,3835.88
2005-02-28,4190.31
2005-03-31,4147.24
2005-04-30,4242.16
2005-05-31,4118.56
2005-06-30,4243.86
2005-07-31,4360.09
2005-08-31,4270.79
2005-09-30,4327.73
2005-10-31,4243.2
2005-11-30,4375.4
2005-12-31,4252.74
2006-01-31,4021.58
2006-02-28,4405.31
2006-03-31,4164.32
2006-04-30,4372.03
2006-05-31,4262.87
2006-06-30,4456.91
2006-07-31,4500.62
2006-08-31,4434.77
2006-09-30,4572.75
2006-10-31,4410.56
2006-11-30,4513.67
2006-12-31,4419.22
2007-01-31,4166.92
2007-02-28,4591.54
2007-03-31,4268.0
2007-04-30,4520.07
2007-05-31,4347.79
2007-06-30,4551.59
2007-07-31,4574.83
2007-08-31,4481.85
2007-09-30,4585.22
2007-10-31,4522.7
2007-11-30,4635.94
2007-12-31,4486.76
2008-01-31,4331.12
2008-02-29,4367.11
2008-03-31,4479.46
2008-04-30,4512.94
2008-05-31,4398.42
2008-06-30,4596.36
2008-07-31,4611.57
2008-08-31,4633.2
2008-09-30,4775.72
2008-10-31,4514.29
2008-11-30,4725.58
2008-12-31,4590.89
2009-01-31,4271.58
2009-02-28,4735.31
2009-03-31,4522.87
2009-04-30,4730.08
2009-05-31,4513.91
2009-06-30,4720.47
2009-07-31,4782.97
2009-08-31,4880.21
2009-09-30,4811.49
2009-10-31,4662.61
2009-11-30,4764.01
2009-12-31,4617.73
2010-01-31,4411.7
2010-02-28,4888.72
2010-03-31,4607.81
