time,value
1963-01-31,562.674
1963-02-28,599.0
1963-03-31,668.516
1963-04-30,597.798
1963-05-31,579.889
1963-06-30,668.233
1963-07-31,499.232
1963-08-31,215.187
1963-09-30,555.813
1963-10-31,586.935
1963-11-30,546.136
1963-12-31,571.111
1964-01-31,634.712
1964-02-29,639.283
1964-03-31,712.182
1964-04-30,621.557
1964-05-31,621.0
1964-06-30,675.989
1964-07-31,501.322
1964-08-31,220.286
1964-09-30,560.727
1964-10-31,602.53
1964-11-30,626.379
1964-12-31,605.508
1965-01-31,646.783
1965-02-28,658.442
1965-03-31,712.906
1965-04-30,687.714
1965-05-31,723.916
1965-06-30,707.183
1965-07-31,629.0
1965-08-31,237.53
1965-09-30,613.296
1965-10-31,730.444
1965-11-30,734.925
1965-12-31,651.812
1966-01-31,676.155
1966-02-28,748.183
1966-03-31,810.681
1966-04-30,729.363
1966-05-31,701.108
1966-06-30,790.079
1966-07-31,594.621
1966-08-31,230.716
1966-09-30,617.189
1966-10-31,691.389
1966-11-30,701.067
1966-12-31,705.777
1967-01-31,747.636
1967-02-28,773.392
1967-03-31,813.788
1967-04-30,766.713
1967-05-31,728.875
1967-06-30,749.197
1967-07-31,680.954
1967-08-31,241.424
1967-09-30,680.234
1967-10-31,708.326
1967-11-30,694.238
1967-12-31,772.071
1968-01-31,795.337
1968-02-29,788.421
1968-03-31,889.968
1968-04-30,797.393
1968-05-31,751.0
1968-06-30,821.255
1968-07-31,691.605
1968-08-31,290.655
1968-09-30,727.147
1968-10-31,868.355
1968-11-30,812.39
1968-12-31,799.556
1969-01-31,843.038
1969-02-28,847.0
1969-03-31,941.952
1969-04-30,804.309
1969-05-31,840.307
1969-06-30,871.528
1969-07-31,656.33
1969-08-31,370.508
1969-09-30,742.0
1969-10-31,847.152
1969-11-30,731.675
1969-12-31,898.527
1970-01-31,778.139
1970-02-28,856.075
1970-03-31,938.833
1970-04-30,813.023
1970-05-31,783.417
1970-06-30,828.11
1970-07-31,657.311
1970-08-31,310.032
1970-09-30,780.0
1970-10-31,860.0
1970-11-30,780.0
1970-12-31,807.993
1971-01-31,895.217
1971-02-28,856.075
1971-03-31,893.268
1971-04-30,875.0
1971-05-31,835.088
1971-06-30,934.595
1971-07-31,832.5
1971-08-31,300.0
1971-09-30,791.443
1971-10-31,900.0
1971-11-30,781.729
1971-12-31,880.0
1972-01-31,875.024
1972-02-29,992.968
1972-03-31,976.804
1972-04-30,968.697
1972-05-31,871.675
1972-06-30,1006.852
1972-07-31,832.037
1972-08-31,345.587
1972-09-30,849.528
1972-10-31,913.871
1972-11-30,868.746
1972-12-31,993.733
